arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
mlp_lr1e-4,cnn_lr1e-4,-0.011198639869689941,-0.01706380248069763,-0.005113893747329713,0.0,1.0,True,-0.013853907585144043,-0.02193623036146164,-0.004564261436462403,0.0015,0.9985,True
mlp_lr1e-4,cnn_lr3e-5,-0.021060049533843994,-0.026780976355075835,-0.014809808135032663,0.0,1.0,True,-0.02734696865081787,-0.03578750938177109,-0.01846238374710083,0.0,1.0,True
mlp_lr1e-4,cnn_lr3e-4,0.0056081414222717285,0.0005058407783508301,0.01147010326385498,0.9845,0.0155,True,0.0027286410331726074,-0.004854577779769898,0.010982714593410487,0.7575,0.2425,False
mlp_lr1e-4,gru_lr1e-4,-0.015351295471191406,-0.023495429754257204,-0.0070230394601821945,0.0,1.0,True,-0.01894521713256836,-0.029995962977409363,-0.007833279669284827,0.0,1.0,True
mlp_lr1e-4,gru_lr3e-5,-0.02761000394821167,-0.03754929751157761,-0.01708627194166185,0.0,1.0,True,-0.02715003490447998,-0.04021274447441101,-0.013777860999107385,0.0,1.0,True
mlp_lr1e-4,gru_lr3e-4,0.01881629228591919,0.01056050807237625,0.027411137521266934,1.0,0.0,True,0.019786417484283447,0.008459562063217163,0.03176973909139633,1.0,0.0,True
mlp_lr1e-4,attention_lr1e-4,-0.031820476055145264,-0.0414446160197258,-0.022333307564258578,0.0,1.0,True,-0.03797173500061035,-0.049998138844966886,-0.026097366213798524,0.0,1.0,True
mlp_lr1e-4,attention_lr3e-5,-0.038207173347473145,-0.04867855161428451,-0.027866013348102573,0.0,1.0,True,-0.04108458757400513,-0.05396384745836258,-0.028608989715576173,0.0,1.0,True
mlp_lr1e-4,attention_lr3e-4,-0.013712584972381592,-0.02160656601190567,-0.006014525890350354,0.0005,0.9995,True,-0.018539071083068848,-0.02865336835384369,-0.008178608119487767,0.0,1.0,True
mlp_lr1e-4,attention_pe_lr1e-4,-0.02773118019104004,-0.03713369220495224,-0.017490050196647646,0.0,1.0,True,-0.02609485387802124,-0.03859598785638809,-0.012920562922954563,0.0,1.0,True
mlp_lr1e-4,attention_pe_lr3e-5,-0.0428045392036438,-0.05331986993551254,-0.0324585571885109,0.0,1.0,True,-0.04233318567276001,-0.055599504709243776,-0.02916330248117448,0.0,1.0,True
mlp_lr1e-4,attention_pe_lr3e-4,0.020121455192565918,0.006256268918514251,0.033882300555706,0.999,0.001,True,0.03160923719406128,0.010496068000793456,0.05484179407358168,0.997,0.003,True
