head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
cnn,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,last,argmax,2,0.3298710882663727,0.3121654577553272,0.3483709037303925,0.020962851122021675,0.015541129233315586,0.026384571148082608,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,4,0.34078845381736755,0.32168310806155204,0.36073160767555235,-0.0335102342069149,-0.04223085856065154,-0.025207544071599846,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,8,0.3448445796966553,0.3233121395111084,0.3656974799931049,-0.08642911165952682,-0.10041698087006808,-0.07278145719319583,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,16,0.3525398075580597,0.3267437517642975,0.3768005967140198,-0.11296436935663223,-0.1379833221435547,-0.08946171402931213,0.0009995002498750624,0.035982008995502246,1319
cnn,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,last,weighted_vote,2,0.3298710882663727,0.3121654577553272,0.3483709037303925,0.020962851122021675,0.015541129233315586,0.026384571148082608,0.0009995002498750624,0.035982008995502246,1319
cnn,last,weighted_vote,4,0.3649734854698181,0.34457732513546946,0.38537340760231015,-0.009325245395302773,-0.016338134184479713,-0.002880970708793029,0.008995502248875561,0.09895052473763118,1319
cnn,last,weighted_vote,8,0.4076194167137146,0.3846474580466747,0.4309334397315979,-0.023654283955693245,-0.032752078212797645,-0.014745071041397755,0.0009995002498750624,0.035982008995502246,1319
cnn,last,weighted_vote,16,0.4465504288673401,0.419996202737093,0.47460198402404785,-0.018953753635287285,-0.036391206085681915,-0.0015163002535700798,0.03498250874562719,0.4897551224387806,1319
gru,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,min,argmax,2,0.3313874304294586,0.31300133988261225,0.35023692250251764,0.02247915230691433,0.017019523680210112,0.028051553294062614,0.0009995002498750624,0.035982008995502246,1319
gru,min,argmax,4,0.3483699858188629,0.3288855247199535,0.36850170493125917,-0.025928732007741928,-0.034040939155966045,-0.01671626088209451,0.0009995002498750624,0.035982008995502246,1319
gru,min,argmax,8,0.3600834012031555,0.3384741969406605,0.38123672604560854,-0.07119029015302658,-0.08461144845932722,-0.056481236871331934,0.0009995002498750624,0.035982008995502246,1319
