head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
mlp,two_consecutive,0.05,-6.742214202880859,0.04945717732207479,2222,2196,841,1355,26,0.04994054696789536,0.004428044280442804,0.2974169741697417,0.016974169741697416,0.10627306273062731,0.16752767527675277,2.7866005897521973,2.0,0.12090880203368287,0.10716555449634572,0.16799501867995018,0.3791706387035272,0.2826314686779803,0.3076923076923077,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.1,-5.567278861999512,0.09891435464414958,2222,2196,841,1355,26,0.09988109393579073,0.022878228782287822,0.44206642066420665,0.042804428044280446,0.25166051660516603,0.34538745387453873,1.809682846069336,1.0,0.19391483952971084,0.15896091515729266,0.24919053549190537,0.3791706387035272,0.41923318667504716,0.7307692307692307,,,,,,,,,,,,,,,,
cnn,single_low,0.01,-10.233349800109863,0.009650180940892641,2222,2196,841,1355,26,0.009512485136741973,0.005904059040590406,0.07084870848708487,0.016236162361623615,0.028044280442804426,0.037638376383763834,3.2604167461395264,2.0,0.016047028916428344,0.013187162376866858,0.02067247820672478,0.3791706387035272,0.03477896501152315,0.19230769230769232,,,,,,,,,,,,,,,,
cnn,single_low,0.05,-8.419483184814453,0.04945717732207479,2222,2196,841,1355,26,0.057074910820451845,0.028782287822878228,0.3070110701107011,0.05904059040590406,0.11660516605166052,0.1837638376383764,2.629807710647583,2.0,0.09842707340324118,0.07991738163330156,0.12528019925280198,0.3791706387035272,0.21076890844332705,0.6923076923076923,0.041617121547460556,0.0737217590212822,0.019907750189304352,0.039114389568567276,0.28118079900741577,0.33136531710624695,0.046494465321302414,0.0715867131948471,0.09963099658489227,0.1328413337469101,0.16162361204624176,0.2044280469417572,0.06990450620651245,0.0890948548913002,0.18644529581069946,0.2317814826965332
cnn,single_low,0.1,-7.696609020233154,0.09891435464414958,2222,2196,841,1355,26,0.09631391200951249,0.047232472324723246,0.4014760147601476,0.08856088560885608,0.18745387453874537,0.2789667896678967,2.1158087253570557,2.0,0.15260565618048935,0.11852557991738163,0.18580323785803238,0.3791706387035272,0.31259166142887074,0.9230769230769231,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.01,-8.514805793762207,0.009650180940892641,2222,2196,841,1355,26,0.013079667063020214,0.0014760147601476014,0.14243542435424356,0.0051660516605166054,0.024354243542435424,0.03911439114391144,4.05181360244751,3.0,0.041070861137591355,0.039243724181760406,0.061519302615193026,0.3791706387035272,0.1034988476848942,0.38461538461538464,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.05,-7.296501159667969,0.04945717732207479,2222,2196,841,1355,26,0.052318668252080855,0.008856088560885609,0.3121771217712177,0.02214022140221402,0.08191881918819188,0.14612546125461254,2.914893627166748,3.0,0.10486177311725453,0.08984747378455672,0.14084682440846824,0.3791706387035272,0.2369578881206788,0.5384615384615384,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.1,-6.008610725402832,0.09891435464414958,2222,2196,841,1355,26,0.11296076099881094,0.02952029520295203,0.4774907749077491,0.04797047970479705,0.1940959409594096,0.3254612546125461,2.123647689819336,2.0,0.18469971401334603,0.1479186526850969,0.23188044831880447,0.3791706387035272,0.39011104127383195,0.9230769230769231,,,,,,,,,,,,,,,,
gru,single_low,0.01,-10.572553634643555,0.009650180940892641,2222,2196,841,1355,26,0.0047562425683709865,0.0007380073800738007,0.15498154981549817,0.00959409594095941,0.03690036900369004,0.06863468634686347,3.5904762744903564,3.0,0.020495710200190656,0.01993962503972037,0.031257783312577836,0.3791706387035272,0.052587471192122356,0.2692307692307692,,,,,,,,,,,,,,,,
gru,single_low,0.05,-8.2982177734375,0.04945717732207479,2222,2196,841,1355,26,0.04042806183115339,0.014022140221402213,0.36974169741697416,0.03985239852398524,0.13136531365313653,0.211070110701107,2.7504990100860596,2.0,0.08643152208452494,0.07832856688910073,0.12278953922789539,0.3791706387035272,0.20657867169495076,0.8461538461538461,0.027348395437002182,0.053537484258413315,0.008118080906569958,0.02066420577466488,0.34391143918037415,0.39409592747688293,0.029501846060156822,0.04944649338722229,0.11437269300222397,0.14907748997211456,0.18892988562583923,0.23321032524108887,0.06919887661933899,0.08722343295812607,0.18369391560554504,0.22664819657802582
gru,single_low,0.1,-6.898505687713623,0.09891435464414958,2222,2196,841,1355,26,0.07728894173602854,0.03173431734317343,0.5084870848708487,0.08339483394833948,0.24206642066420664,0.3461254612546125,2.2046444416046143,2.0,0.1515729265967588,0.12829679059421673,0.20112079701120797,0.3791706387035272,0.3383616174313849,0.8846153846153846,,,,,,,,,,,,,,,,
gru,two_consecutive,0.01,-9.090705871582031,0.009650180940892641,2222,2196,841,1355,26,0.0047562425683709865,0.0014760147601476014,0.14907749077490776,0.004428044280442804,0.013284132841328414,0.03911439114391144,4.188118934631348,4.0,0.031061328249126153,0.030108039402605657,0.04719800747198007,0.3791706387035272,0.07940498638173057,0.34615384615384615,,,,,,,,,,,,,,,,
gru,two_consecutive,0.05,-7.276587009429932,0.04945717732207479,2222,2196,841,1355,26,0.0356718192627824,0.007380073800738007,0.31808118081180814,0.014760147601476014,0.055350553505535055,0.13874538745387455,3.3503479957580566,3.0,0.07983794089609152,0.07229107086113759,0.1133250311332503,0.3791706387035272,0.1906557720511209,0.5769230769230769,,,,,,,,,,,,,,,,
gru,two_consecutive,0.1,-5.608455657958984,0.09891435464414958,2222,2196,841,1355,26,0.08085612366230678,0.021402214022140223,0.47232472324723246,0.03690036900369004,0.13579335793357933,0.2922509225092251,2.504687547683716,2.0,0.14640927867810613,0.12329202414998411,0.19327521793275218,0.3791706387035272,0.3251623716739996,0.9230769230769231,,,,,,,,,,,,,,,,
attention,single_low,0.01,-10.696282386779785,0.009650180940892641,2222,2196,841,1355,26,0.014268727705112961,0.0036900369003690036,0.08118081180811808,0.026568265682656828,0.04059040590405904,0.05387453874538745,2.200000047683716,1.0,0.032650142993326976,0.026930409914204003,0.042216687422166874,0.3791706387035272,0.071024512884978,0.038461538461538464,,,,,,,,,,,,,,,,
attention,single_low,0.05,-9.44381332397461,0.04945717732207479,2222,2196,841,1355,26,0.04399524375743163,0.021402214022140223,0.27084870848708487,0.07896678966789668,0.13062730627306274,0.18671586715867158,2.1008174419403076,2.0,0.10772163965681601,0.08746425166825549,0.13711083437110835,0.3791706387035272,0.23067253299811438,0.34615384615384615,0.030915576964616776,0.05826397240161896,0.014022139832377434,0.029520295560359955,0.24869003891944885,0.2952214181423187,0.06568265706300735,0.09298893064260483,0.11511070281267166,0.14907748997211456,0.1682656854391098,0.20739853382110596,0.07733955979347229,0.09890460968017578,0.20502997934818268,0.25602149963378906
attention,single_low,0.1,-8.412565231323242,0.09891435464414958,2222,2196,841,1355,26,0.08799048751486326,0.03837638376383764,0.44944649446494467,0.16162361623616237,0.24870848708487084,0.34391143911439115,1.7241379022598267,1.0,0.17778836987607244,0.138465204957102,0.2170610211706102,0.3791706387035272,0.3651791326209931,0.6538461538461539,,,,,,,,,,,,,,,,
attention,two_consecutive,0.01,-9.42174243927002,0.009650180940892641,2222,2196,841,1355,26,0.019024970273483946,0.002214022140221402,0.12767527675276752,0.006642066420664207,0.03985239852398524,0.05461254612546126,3.2023122310638428,3.0,0.05227200508420718,0.04718779790276454,0.07397260273972603,0.3791706387035272,0.12445003142677562,0.0,,,,,,,,,,,,,,,,
