head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
gru,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.014234875444839857,0.2526690391459075,0.0498220640569395,0.17793594306049823,0.2206405693950178,1.3098591566085815,1.0,0.047058823529411764,0.03725490196078431,0.03725490196078431,0.44313725490196076,0.084070796460177,
gru,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.041666666666666664,0.12797619047619047,0.09523809523809523,0.11904761904761904,0.125,0.3488371968269348,0.0,0.024636765634870498,0.006317119393556538,0.006317119393556538,0.08843967150979154,0.07142857142857142,
attention,single_low,0.05,length,short,958,958,402,556,0,0.022388059701492536,0.019784172661870502,0.20863309352517986,0.10071942446043165,0.16366906474820145,0.19784172661870503,0.7844827771186829,1.0,0.04111955770559779,0.031098825155494125,0.0526623756582797,0.22840359364201795,0.1361573373676248,
attention,single_low,0.05,length,medium,669,669,247,422,0,0.03643724696356275,0.023696682464454975,0.2772511848341232,0.054502369668246446,0.10900473933649289,0.19194312796208532,1.9487179517745972,2.0,0.09343177189409368,0.079938900203666,0.12645992750704793,0.35005091649694503,0.22836363636363635,
attention,single_low,0.05,length,long,569,569,192,377,0,0.09895833333333333,0.021220159151193633,0.35543766578249336,0.07427055702917772,0.10610079575596817,0.16445623342175067,3.3731343746185303,3.0,0.15088449531737774,0.12088102670828997,0.1816050026055237,0.47467915365938257,0.2546583850931677,
attention,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.005420054200542005,0.4065040650406504,0.1111111111111111,0.17073170731707318,0.25609756097560976,2.3566665649414062,2.0,0.22615415904006508,0.2190359975594875,0.2190359975594875,0.8043522473052674,0.27231352718078383,
attention,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.02491103202846975,0.14590747330960854,0.02491103202846975,0.08896797153024912,0.13523131672597866,1.3658536672592163,1.0,0.03529411764705882,0.015032679738562092,0.015032679738562092,0.44313725490196076,0.03392330383480826,
attention,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.05357142857142857,0.07738095238095238,0.05357142857142857,0.07738095238095238,0.07738095238095238,0.3076923191547394,0.0,0.030322173089071383,0.0006317119393556538,0.0006317119393556538,0.08843967150979154,0.007142857142857143,
attention_pe,single_low,0.05,length,short,958,958,402,556,0,0.02736318407960199,0.03237410071942446,0.2302158273381295,0.11151079136690648,0.19244604316546762,0.22122302158273383,0.71875,1.0,0.05286800276434001,0.0359364201796821,0.060854300760678756,0.22840359364201795,0.1573373676248109,
attention_pe,single_low,0.05,length,medium,669,669,247,422,0,0.02834008097165992,0.03317535545023697,0.24881516587677724,0.045023696682464455,0.0995260663507109,0.16587677725118483,1.9809523820877075,2.0,0.08630346232179226,0.06873727087576374,0.10873942811115586,0.35005091649694503,0.19636363636363635,
attention_pe,single_low,0.05,length,long,569,569,192,377,0,0.07291666666666667,0.007957559681697613,0.3050397877984085,0.03713527851458886,0.06896551724137931,0.09283819628647215,4.582608699798584,4.0,0.0966007630939993,0.07960457856399583,0.11959353830119854,0.47467915365938257,0.16770186335403728,
attention_pe,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0013550135501355014,0.37669376693766937,0.08130081300813008,0.15718157181571815,0.21951219512195122,2.7769784927368164,2.0,0.16412446613788895,0.16310758592637786,0.16310758592637786,0.8043522473052674,0.20278128950695323,
attention_pe,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.046263345195729534,0.13167259786476868,0.03914590747330961,0.10320284697508897,0.11743772241992882,1.162162184715271,1.0,0.048366013071895426,0.018300653594771243,0.018300653594771243,0.44313725490196076,0.04129793510324484,
attention_pe,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.0625,0.09821428571428571,0.07142857142857142,0.08928571428571429,0.09821428571428571,0.3636363744735718,0.0,0.032849020846494,0.0018951358180669614,0.0018951358180669614,0.08843967150979154,0.02142857142857143,
