arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
linear_2048,attention_2048,-0.09269797801971436,-0.10589868575334549,-0.08011537790298462,0.0,True,-0.11208432912826538,-0.1288505122065544,-0.09539084136486058,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,attention_pe_512,-0.0901801586151123,-0.10454466342926025,-0.07597374171018602,0.0,True,-0.10782819986343384,-0.12603092938661575,-0.09018760621547699,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,attention_pe_2048,-0.08876943588256836,-0.10242375433444977,-0.07537544369697571,0.0,True,-0.10029727220535278,-0.11843858510255814,-0.08317337781190873,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_512,mlp_2048,-0.0011118054389953613,-0.007887662947177887,0.005949711799621581,0.3605,False,0.008039593696594238,0.004062756896018982,0.012251065671443935,1.0,True,0.7216391804097951,1.0,False,0.0009995002498750624,0.005997001499250375,True
mlp_512,cnn_512,-0.011198639869689941,-0.01706380248069763,-0.005113893747329713,0.0,True,-0.013853907585144043,-0.02193623036146164,-0.004564261436462403,0.0015,True,0.0009995002498750624,,,0.00399800099950025,,
mlp_512,cnn_2048,-0.013738930225372314,-0.02153824418783188,-0.005375401675701147,0.0005,True,-0.0075470805168151855,-0.01636415421962738,0.002053941786289211,0.056,False,0.001999000499750125,,,0.11294352823588207,,
mlp_512,gru_512,-0.015351295471191406,-0.023495429754257204,-0.0070230394601821945,0.0,True,-0.01894521713256836,-0.029995962977409363,-0.007833279669284827,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_512,gru_2048,-0.01782160997390747,-0.02847619503736496,-0.0068984493613243126,0.002,True,-0.01431119441986084,-0.026154060661792756,-0.0026102095842361465,0.0055,True,0.004997501249375313,,,0.01199400299850075,,
mlp_512,attention_512,-0.031820476055145264,-0.0414446160197258,-0.022333307564258578,0.0,True,-0.03797173500061035,-0.049998138844966886,-0.026097366213798524,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_512,attention_2048,-0.03024899959564209,-0.042246545851230624,-0.01859391182661058,0.0,True,-0.030350983142852783,-0.04347957521677017,-0.017603670060634635,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_512,attention_pe_512,-0.02773118019104004,-0.03713369220495224,-0.017490050196647646,0.0,True,-0.02609485387802124,-0.03859598785638809,-0.012920562922954563,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_512,attention_pe_2048,-0.026320457458496094,-0.03842985481023788,-0.013816985487937932,0.0,True,-0.018563926219940186,-0.031975527107715604,-0.005054576694965366,0.0035,True,0.0009995002498750624,,,0.0079960019990005,,
mlp_2048,cnn_512,-0.01008683443069458,-0.01955497860908508,-0.0009367361664772073,0.016,True,-0.02189350128173828,-0.030892524123191833,-0.012031008303165449,0.0,True,0.03298350824587706,,,0.0009995002498750624,,
mlp_2048,cnn_2048,-0.012627124786376953,-0.018321456015110017,-0.0069371372461319,0.0,True,-0.015586674213409424,-0.023388202488422393,-0.006612606346607225,0.0005,True,0.0009995002498750624,,,0.001999000499750125,,
mlp_2048,gru_512,-0.014239490032196045,-0.024727432429790495,-0.0037448272109031734,0.004,True,-0.026984810829162598,-0.038805149495601654,-0.015176804363727573,0.0,True,0.008995502248875561,,,0.0009995002498750624,,
mlp_2048,gru_2048,-0.01670980453491211,-0.024974970519542693,-0.008351919054985047,0.0,True,-0.022350788116455078,-0.03421338200569153,-0.010570675134658815,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_2048,attention_512,-0.030708670616149902,-0.04242845326662063,-0.018938499689102183,0.0,True,-0.04601132869720459,-0.05844434797763824,-0.033241622149944326,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_2048,attention_2048,-0.02913719415664673,-0.03878703415393829,-0.019568561017513288,0.0,True,-0.03839057683944702,-0.05084383338689804,-0.02589641809463502,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_2048,attention_pe_512,-0.026619374752044678,-0.03865299671888352,-0.014943580329418187,0.0,True,-0.03413444757461548,-0.04715908169746399,-0.02070187330245972,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_2048,attention_pe_2048,-0.025208652019500732,-0.03528851121664047,-0.015098498761653905,0.0,True,-0.026603519916534424,-0.039722840487957004,-0.013172295689582829,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
cnn_512,cnn_2048,-0.002540290355682373,-0.008770614862442017,0.0041387528181076015,0.2045,False,0.006306827068328857,0.0026978299021720884,0.010325707495212555,1.0,True,0.4097951024487756,1.0,False,0.0009995002498750624,0.005997001499250375,True
cnn_512,gru_512,-0.004152655601501465,-0.011869029700756073,0.0031185567378997753,0.142,False,-0.005091309547424316,-0.014613911509513855,0.004367722570896138,0.1585,False,0.2848575712143928,,,0.31784107946026985,,
cnn_512,gru_2048,-0.006622970104217529,-0.017671096324920654,0.004411146044731134,0.1145,False,-0.0004572868347167969,-0.011302119493484497,0.009844551980495452,0.4635,False,0.22988505747126436,,,0.927536231884058,,
cnn_512,attention_512,-0.020621836185455322,-0.029915818572044374,-0.0116447851061821,0.0,True,-0.02411782741546631,-0.03496296852827072,-0.013199302554130559,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
cnn_512,attention_2048,-0.01905035972595215,-0.03134344071149826,-0.0069800481200218215,0.0005,True,-0.01649707555770874,-0.028354018926620483,-0.005251936614513403,0.003,True,0.001999000499750125,,,0.0069965017491254375,,
cnn_512,attention_pe_512,-0.016532540321350098,-0.02682023197412491,-0.00605050474405289,0.0015,True,-0.012240946292877197,-0.024778912961483,-0.00016121715307238426,0.025,True,0.00399800099950025,,,0.050974512743628186,,
cnn_512,attention_pe_2048,-0.015121817588806152,-0.028034083545207977,-0.0017822995781898623,0.0115,True,-0.004710018634796143,-0.017674407362937926,0.008361704647541032,0.243,False,0.0239880059970015,,,0.4867566216891554,,
cnn_2048,gru_512,-0.0016123652458190918,-0.011195811629295348,0.007728177309036245,0.3785,False,-0.011398136615753174,-0.021401447057724,-0.0011881172657012954,0.0125,True,0.7576211894052973,,,0.025987006496751622,,
cnn_2048,gru_2048,-0.004082679748535156,-0.012202733755111694,0.0040319204330444315,0.159,False,-0.006764113903045654,-0.017109014093875885,0.0032161697745323164,0.099,False,0.3188405797101449,,,0.19890054972513743,,
cnn_2048,attention_512,-0.01808154582977295,-0.0289413183927536,-0.007637254893779764,0.0005,True,-0.030424654483795166,-0.0415519118309021,-0.018722023069858554,0.0,True,0.001999000499750125,,,0.0009995002498750624,,
cnn_2048,attention_2048,-0.016510069370269775,-0.02591908574104309,-0.007489903271198275,0.0,True,-0.022803902626037598,-0.03431684821844101,-0.01137141138315201,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
cnn_2048,attention_pe_512,-0.013992249965667725,-0.02530764788389206,-0.0025501251220703203,0.009,True,-0.018547773361206055,-0.031407131254673,-0.005762164294719703,0.002,True,0.01899050474762619,,,0.004997501249375313,,
cnn_2048,attention_pe_2048,-0.01258152723312378,-0.023221613466739656,-0.0019317224621772805,0.011,True,-0.011016845703125,-0.023984776437282564,0.0016577303409576354,0.0435,False,0.022988505747126436,,,0.0879560219890055,,
gru_512,gru_2048,-0.0024703145027160645,-0.010033647716045379,0.006428156793117518,0.2655,False,0.0046340227127075195,0.00016488134860992432,0.0093430295586586,0.9785,True,0.5317341329335332,1.0,False,0.04397801099450275,0.04397801099450275,True
