head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
mlp,last,argmax,16,0.34723275899887085,0.3221948452293873,0.3722706727683543,-0.11827141791582108,-0.14253221452236176,-0.09476876258850098,0.0009995002498750624,0.035982008995502246,1319
mlp,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,last,weighted_vote,2,0.3337755799293518,0.315463412553072,0.3528809264302254,0.02486732229590416,0.019257014617323875,0.03051554230041802,0.0009995002498750624,0.035982008995502246,1319
mlp,last,weighted_vote,4,0.3772175908088684,0.35594861656427385,0.3984855890274048,0.002918878337368369,-0.003260044858325273,0.008794541493989528,0.3548225887056472,1.0,1319
mlp,last,weighted_vote,8,0.42278242111206055,0.3989366710186005,0.44605758786201477,-0.008491281419992447,-0.01611258564516902,-0.0008339659369084984,0.030984507746126936,0.18590704647676162,1319
mlp,last,weighted_vote,16,0.46474602818489075,0.436694473028183,0.49128127098083496,-0.0007581501267850399,-0.015940106846392153,0.013665656023658709,0.9265367316341829,1.0,1319
cnn,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,min,argmax,2,0.33195599913597107,0.3137964427471161,0.3507970206439495,0.023047761991620064,0.017589082894846796,0.028430629521608353,0.0009995002498750624,0.035982008995502246,1319
cnn,min,argmax,4,0.34442758560180664,0.32569937258958814,0.36338514685630796,-0.02987111359834671,-0.03874241346493364,-0.02115239007398486,0.0009995002498750624,0.035982008995502246,1319
cnn,min,argmax,8,0.3507581651210785,0.3291130058467388,0.3719503752887249,-0.0805155485868454,-0.09412433225661516,-0.06648786831647159,0.0009995002498750624,0.035982008995502246,1319
cnn,min,argmax,16,0.34799090027809143,0.3229719400405884,0.37452614307403564,-0.1175132691860199,-0.14177407324314117,-0.0940106138586998,0.0009995002498750624,0.035982008995502246,1319
cnn,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,min,weighted_vote,2,0.33195599913597107,0.3137964427471161,0.3507970206439495,0.023047761991620064,0.017589082894846796,0.028430629521608353,0.0009995002498750624,0.035982008995502246,1319
cnn,min,weighted_vote,4,0.3668309450149536,0.34688968658447267,0.3874563932418823,-0.007467777468264103,-0.014329035789705813,-0.0008718723271158524,0.02798600699650175,0.223888055972014,1319
cnn,min,weighted_vote,8,0.40845343470573425,0.3856681175529957,0.43210762813687326,-0.02282031811773777,-0.03199488436803222,-0.014177406206727028,0.0009995002498750624,0.035982008995502246,1319
cnn,min,weighted_vote,16,0.44503411650657654,0.41774070262908936,0.4715883135795592,-0.02047005295753479,-0.03714935481548309,-0.0052880971343257565,0.01199400299850075,0.14392803598200898,1319
cnn,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,mean,argmax,2,0.33203184604644775,0.3137215726077557,0.3508728377521038,0.02312357909977436,0.01781652681529522,0.028658073395490646,0.0009995002498750624,0.035982008995502246,1319
cnn,mean,argmax,4,0.347270667552948,0.3277473509311676,0.36664232090115545,-0.027028052136301994,-0.03590125273913145,-0.018763266876339918,0.0009995002498750624,0.035982008995502246,1319
cnn,mean,argmax,8,0.3575815260410309,0.336275589466095,0.3797649562358856,-0.073692187666893,-0.08843820542097092,-0.05970336748287082,0.0009995002498750624,0.035982008995502246,1319
cnn,mean,argmax,16,0.36391204595565796,0.33737680315971375,0.39046627208590495,-0.10159211605787277,-0.12585291266441345,-0.0773313120007515,0.0009995002498750624,0.035982008995502246,1319
cnn,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,mean,weighted_vote,2,0.33203184604644775,0.3137215726077557,0.3508728377521038,0.02312357909977436,0.01781652681529522,0.028658073395490646,0.0009995002498750624,0.035982008995502246,1319
cnn,mean,weighted_vote,4,0.38180437684059143,0.36118174344301224,0.40295867845416067,0.007505686022341251,0.0019332829309860245,0.012812736490741373,0.00399800099950025,0.047976011994003,1319
cnn,mean,weighted_vote,8,0.4292646050453186,0.4052302896976471,0.4531084008514881,-0.0020090981852263212,-0.008719675708562136,0.004662622697651386,0.5487256371814093,1.0,1319
cnn,mean,weighted_vote,16,0.46853676438331604,0.44122442603111267,0.4958491317927836,0.0030326005071401596,-0.010614101774990559,0.016679301857948303,0.7426286856571714,1.0,1319
cnn,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,last,argmax,2,0.33658069372177124,0.31826666072010995,0.3553847551345825,0.027672478929162025,0.022289615124464035,0.03316906839609146,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,4,0.3506822884082794,0.3308567404747009,0.370700342208147,-0.023616377264261246,-0.0326014026068151,-0.015463418606668727,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,8,0.3573540449142456,0.3352900259196758,0.37926459312438965,-0.0739196389913559,-0.08723370544612408,-0.060197125840932134,0.0009995002498750624,0.035982008995502246,1319
cnn,last,argmax,16,0.36391204595565796,0.33737680315971375,0.39120545983314514,-0.10159211605787277,-0.12661106884479523,-0.07808946073055267,0.0009995002498750624,0.035982008995502246,1319
cnn,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,last,weighted_vote,2,0.33658069372177124,0.31826666072010995,0.3553847551345825,0.027672478929162025,0.022289615124464035,0.03316906839609146,0.0009995002498750624,0.035982008995502246,1319
cnn,last,weighted_vote,4,0.37873390316963196,0.3581481993198395,0.40000755861401555,0.0044351788237690926,-0.0019351763796294106,0.010538287460803986,0.18190904547726136,0.9095452273863068,1319
cnn,last,weighted_vote,8,0.42346474528312683,0.39995549246668816,0.44822115898132325,-0.00780894560739398,-0.01580837699584663,0.0006074680481105992,0.07396301849075462,0.3448275862068966,1319
cnn,last,weighted_vote,16,0.46474602818489075,0.43745261430740356,0.4927975833415985,-0.0007581501267850399,-0.016679301857948303,0.015163002535700798,0.9345327336331835,1.0,1319
gru,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,min,argmax,2,0.33085671067237854,0.3129624843597412,0.3503430373966694,0.021948445588350296,0.016603488428518175,0.027445035055279732,0.0009995002498750624,0.035982008995502246,1319
gru,min,argmax,4,0.33968913555145264,0.31989954113960267,0.35936411544680597,-0.03460955247282982,-0.04329131692647934,-0.025888931751251232,0.0009995002498750624,0.035982008995502246,1319
gru,min,argmax,8,0.3454132080078125,0.3244029574096203,0.36630303934216496,-0.08586049824953079,-0.09920773506164551,-0.07111353278160096,0.0009995002498750624,0.035982008995502246,1319
gru,min,argmax,16,0.348749041557312,0.3244692988693714,0.37376800179481506,-0.11675512045621872,-0.1410159170627594,-0.09325246512889862,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,min,weighted_vote,2,0.33085671067237854,0.3129624843597412,0.3503430373966694,0.021948445588350296,0.016603488428518175,0.027445035055279732,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,4,0.35887035727500916,0.33858324214816093,0.3791944615542888,-0.015428354032337666,-0.022554963873699308,-0.00826288796961308,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,8,0.3943518102169037,0.371452796459198,0.4174753725528717,-0.0369219109416008,-0.04700625455006957,-0.02668593679554761,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,16,0.43366187810897827,0.40710765197873117,0.4624715745449066,-0.03184230625629425,-0.050796058028936386,-0.01440485194325447,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,mean,argmax,2,0.328733891248703,0.3103857100009918,0.3476895272731781,0.01982562430202961,0.014365995721891522,0.02562642055563628,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,4,0.3393859267234802,0.31993934512138367,0.3587954878807068,-0.03491281345486641,-0.04363154247403145,-0.026306862430647022,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,8,0.3435557186603546,0.3224782392382622,0.3638808004558086,-0.08771796524524689,-0.10102445036172866,-0.07391395270824436,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,16,0.34799090027809143,0.3222137987613678,0.37452614307403564,-0.1175132691860199,-0.14025777578353882,-0.0940106138586998,0.0009995002498750624,0.035982008995502246,1319
gru,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,mean,weighted_vote,2,0.328733891248703,0.3103857100009918,0.3476895272731781,0.01982562430202961,0.014365995721891522,0.02562642055563628,0.0009995002498750624,0.035982008995502246,1319
gru,mean,weighted_vote,4,0.36902958154678345,0.34832544401288035,0.390108036249876,-0.005269143730401993,-0.01190390579868108,0.001364670120528899,0.12293853073463268,0.7376311844077961,1319
gru,mean,weighted_vote,8,0.40974220633506775,0.3856321036815643,0.4330183506011963,-0.02153146266937256,-0.029984835535287857,-0.01322877076454461,0.0009995002498750624,0.035982008995502246,1319
gru,mean,weighted_vote,16,0.45413193106651306,0.4260614216327667,0.4821834862232208,-0.011372251436114311,-0.028051553294062614,0.004548900760710239,0.16391804097951024,1.0,1319
gru,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,last,argmax,2,0.327862024307251,0.3098531238734722,0.3471986122429371,0.018953753635287285,0.013684608973562717,0.024489199230447407,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,4,0.3391963243484497,0.32001418620347977,0.35845718309283253,-0.035102348774671555,-0.044165086653083566,-0.026421530172228813,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,8,0.3446171283721924,0.32357563376426696,0.3653250567615032,-0.08665656298398972,-0.10000094175338745,-0.07278051655739547,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,16,0.34344199299812317,0.31690675020217896,0.36997726559638977,-0.12206216901540756,-0.14556482434272766,-0.09931766241788864,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,last,weighted_vote,2,0.327862024307251,0.3098531238734722,0.3471986122429371,0.018953753635287285,0.013684608973562717,0.024489199230447407,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,4,0.35769519209861755,0.337413764744997,0.3786618761718273,-0.016603486612439156,-0.02373388991691172,-0.009589651995338505,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,8,0.389954537153244,0.3670944094657898,0.4128913708031177,-0.04131918400526047,-0.05170583724975586,-0.03119313917122784,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,16,0.4230477511882782,0.396512508392334,0.4503411650657654,-0.042456407099962234,-0.06065201014280319,-0.025018954649567604,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,argmax,2,0.33025020360946655,0.31247156858444214,0.34905325770378115,0.021341923624277115,0.01580743114463985,0.026725738821551197,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,4,0.3358604907989502,0.3172355778515339,0.3548938401043415,-0.038438208401203156,-0.04731046324595809,-0.029679679218679676,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,8,0.3399924337863922,0.3188021473586559,0.36057618334889413,-0.09128127247095108,-0.10557335019111633,-0.07755780816078187,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,16,0.34420016407966614,0.3191622503101826,0.37149354815483093,-0.12130402028560638,-0.14556482434272766,-0.09931766241788864,0.0009995002498750624,0.035982008995502246,1319
attention,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,weighted_vote,2,0.33025020360946655,0.31247156858444214,0.34905325770378115,0.021341923624277115,0.01580743114463985,0.026725738821551197,0.0009995002498750624,0.035982008995502246,1319
attention,min,weighted_vote,4,0.3797574043273926,0.3584505200386047,0.4017446584999561,0.005458680447191,-0.0004937446356052533,0.011106899939477444,0.07796101949025487,0.545727136431784,1319
attention,min,weighted_vote,8,0.42907506227493286,0.40477352067828176,0.4525787144899368,-0.002198635833337903,-0.0088703558081761,0.004322403634432698,0.526736631684158,1.0,1319
attention,min,weighted_vote,16,0.47460198402404785,0.4465504288673401,0.5011371970176697,0.009097801521420479,-0.005307050887495279,0.022744502872228622,0.24087956021989004,1.0,1319
attention,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,argmax,2,0.33248671889305115,0.31436598896980283,0.3515541858971119,0.023578466847538948,0.017891394393518566,0.02907884707674382,0.0009995002498750624,0.035982008995502246,1319
