head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
gru,single_low,0.05,length,medium,669,669,247,422,0,0.048582995951417005,0.016587677725118485,0.37203791469194314,0.035545023696682464,0.0924170616113744,0.2014218009478673,2.4076433181762695,2.0,0.08732179226069246,0.079938900203666,0.12645992750704793,0.35005091649694503,0.22836363636363635,
gru,single_low,0.05,length,long,569,569,192,377,0,0.14583333333333334,0.01856763925729443,0.5596816976127321,0.010610079575596816,0.06896551724137931,0.1909814323607427,4.123222827911377,3.0,0.18695802983003815,0.1621574748525841,0.24361646690984887,0.47467915365938257,0.3416149068322981,
gru,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0,0.5718157181571816,0.009485094850948509,0.11246612466124661,0.2791327913279133,3.2014217376708984,3.0,0.2507626601586333,0.2507626601586333,0.2507626601586333,0.8043522473052674,0.3117572692793932,
gru,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.010676156583629894,0.2099644128113879,0.03914590747330961,0.1387900355871886,0.18505338078291814,1.3389830589294434,1.0,0.050980392156862744,0.0392156862745098,0.0392156862745098,0.44313725490196076,0.08849557522123894,
gru,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.044642857142857144,0.10119047619047619,0.0744047619047619,0.09226190476190477,0.10119047619047619,0.3529411852359772,0.0,0.022109917877447885,0.003158559696778269,0.003158559696778269,0.08843967150979154,0.03571428571428571,
attention,single_low,0.05,length,short,958,958,402,556,0,0.029850746268656716,0.0035971223021582736,0.3039568345323741,0.08273381294964029,0.19244604316546762,0.2733812949640288,1.1952662467956543,1.0,0.025570145127850726,0.02073255010366275,0.03510825043885313,0.22840359364201795,0.0907715582450832,
attention,single_low,0.05,length,medium,669,669,247,422,0,0.032388663967611336,0.011848341232227487,0.35545023696682465,0.06635071090047394,0.13507109004739337,0.22037914691943128,2.133333444595337,2.0,0.09521384928716904,0.08834012219959267,0.13975030205396696,0.35005091649694503,0.25236363636363635,
attention,single_low,0.05,length,long,569,569,192,377,0,0.15104166666666666,0.015915119363395226,0.5013262599469496,0.06631299734748011,0.14323607427055704,0.22811671087533156,3.497354507446289,3.0,0.1935483870967742,0.1621574748525841,0.24361646690984887,0.47467915365938257,0.3416149068322981,
attention,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0027100271002710027,0.556910569105691,0.07588075880758807,0.1910569105691057,0.3238482384823848,2.6618003845214844,2.0,0.2674394956274151,0.2637787268659752,0.2637787268659752,0.8043522473052674,0.32793931731984827,
attention,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.0071174377224199285,0.199288256227758,0.042704626334519574,0.13167259786476868,0.18149466192170818,1.3928571939468384,1.0,0.040522875816993466,0.028104575163398694,0.028104575163398694,0.44313725490196076,0.06342182890855458,
attention,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.026785714285714284,0.12202380952380952,0.09226190476190477,0.11904761904761904,0.12202380952380952,0.26829269528388977,0.0,0.017056222362602652,0.0012634238787113076,0.0012634238787113076,0.08843967150979154,0.014285714285714285,
attention_pe,single_low,0.05,length,short,958,958,402,556,0,0.02736318407960199,0.01079136690647482,0.3363309352517986,0.12949640287769784,0.26258992805755393,0.3183453237410072,0.8877005577087402,1.0,0.04906703524533518,0.043538355217691775,0.07372732592159158,0.22840359364201795,0.19062027231467474,
attention_pe,single_low,0.05,length,medium,669,669,247,422,0,0.032388663967611336,0.02132701421800948,0.3222748815165877,0.08767772511848342,0.19194312796208532,0.25118483412322273,1.5367647409439087,1.0,0.12067209775967414,0.10539714867617107,0.16673378977043898,0.35005091649694503,0.3010909090909091,
attention_pe,single_low,0.05,length,long,569,569,192,377,0,0.109375,0.026525198938992044,0.4244031830238727,0.129973474801061,0.21220159151193635,0.27055702917771884,2.231250047683716,1.0,0.21505376344086022,0.17603191120360737,0.264460656591975,0.47467915365938257,0.37084398976982097,
attention_pe,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.012195121951219513,0.5365853658536586,0.15447154471544716,0.3157181571815718,0.4078590785907859,1.696969747543335,1.0,0.32031726662599147,0.30669107179174293,0.30669107179174293,0.8043522473052674,0.3812895069532238,
attention_pe,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.017793594306049824,0.17437722419928825,0.042704626334519574,0.13167259786476868,0.16370106761565836,1.0816326141357422,1.0,0.043137254901960784,0.02875816993464052,0.02875816993464052,0.44313725490196076,0.06489675516224189,
attention_pe,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.03273809523809524,0.1130952380952381,0.09523809523809523,0.11011904761904762,0.1130952380952381,0.18421052396297455,0.0,0.020846493998736577,0.0018951358180669614,0.0018951358180669614,0.08843967150979154,0.02142857142857143,
