head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
cnn,single_low,0.01,-9.9481782913208,0.009650180940892641,2222,2196,841,1355,26,0.02497027348394768,0.01845018450184502,0.1121771217712177,0.022878228782287822,0.061254612546125464,0.08487084870848709,2.3157894611358643,1.0,0.03582777248172863,0.024864950746742928,0.03897882938978829,0.3791706387035272,0.06557720511208884,0.46153846153846156,,,,,,,,,,,,,,,,
cnn,single_low,0.05,-8.720345497131348,0.04945717732207479,2222,2196,841,1355,26,0.057074910820451845,0.042804428044280446,0.2944649446494465,0.05904059040590406,0.14833948339483394,0.2044280442804428,2.390977382659912,1.0,0.10263743247537337,0.07554814108674929,0.11843088418430885,0.3791706387035272,0.19924575738529227,0.8461538461538461,0.041617121547460556,0.07256245613098145,0.03247232362627983,0.054612547159194946,0.27084872126579285,0.31808117032051086,0.046494465321302414,0.0723247230052948,0.12987084686756134,0.16828414797782898,0.18376383185386658,0.22509224712848663,0.06599759310483932,0.08586110174655914,0.17521469295024872,0.22271811962127686
cnn,single_low,0.1,-8.039085388183594,0.09891435464414958,2222,2196,841,1355,26,0.11414982164090369,0.06494464944649446,0.3874538745387454,0.0996309963099631,0.2199261992619926,0.2892988929889299,1.9600000381469727,1.0,0.16221798538290436,0.11574515411503018,0.18144458281444584,0.3791706387035272,0.30525874711921225,0.9230769230769231,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.01,-8.797406196594238,0.009650180940892641,2222,2196,841,1355,26,0.014268727705112961,0.0051660516605166054,0.13210332103321032,0.005904059040590406,0.025092250922509225,0.05682656826568266,3.8156423568725586,3.0,0.03312678741658723,0.029472513504925326,0.046201743462017435,0.3791706387035272,0.07772889168238005,0.5384615384615384,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.05,-7.505202770233154,0.04945717732207479,2222,2196,841,1355,26,0.0558858501783591,0.015498154981549815,0.31808118081180814,0.026568265682656828,0.09446494464944649,0.181549815498155,2.853828191757202,2.0,0.10152526215443279,0.08786145535430569,0.137733499377335,0.3791706387035272,0.23172009218520848,0.7692307692307693,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.1,-6.436690807342529,0.09891435464414958,2222,2196,841,1355,26,0.10939357907253269,0.035424354243542434,0.44501845018450187,0.057564575645756455,0.18671586715867158,0.3107011070110701,2.184079647064209,2.0,0.17389577375278042,0.13814744200826184,0.21656288916562888,0.3791706387035272,0.3643410852713178,0.8846153846153846,,,,,,,,,,,,,,,,
gru,single_low,0.01,-10.210623741149902,0.009650180940892641,2222,2196,841,1355,26,0.01070154577883472,0.0,0.11808118081180811,0.005904059040590406,0.016974169741697416,0.02952029520295203,4.481249809265137,4.0,0.021369558309501113,0.0205751509374007,0.032254047322540474,0.3791706387035272,0.05426356589147287,0.11538461538461539,,,,,,,,,,,,,,,,
gru,single_low,0.05,-7.725222110748291,0.04945717732207479,2222,2196,841,1355,26,0.05826397146254459,0.013284132841328414,0.3800738007380074,0.03173431734317343,0.11291512915129151,0.2154981549815498,2.799999952316284,2.0,0.11733396885923102,0.10311407689863362,0.16164383561643836,0.3791706387035272,0.27194636496962077,0.6153846153846154,0.04280618205666542,0.07491081953048706,0.008118080906569958,0.019926199689507484,0.35571956634521484,0.40516605973243713,0.02287822961807251,0.04132841154932976,0.0966789647936821,0.12988929450511932,0.1948155015707016,0.23618082702159882,0.0930815041065216,0.11378831416368484,0.24886740744113922,0.2961406111717224
gru,single_low,0.1,-6.728944778442383,0.09891435464414958,2222,2196,841,1355,26,0.09631391200951249,0.025830258302583026,0.47675276752767526,0.06568265682656826,0.211070110701107,0.34464944649446494,2.148606777191162,2.0,0.1674610740387671,0.13910073085478233,0.21805728518057285,0.3791706387035272,0.3668552273203436,0.8076923076923077,,,,,,,,,,,,,,,,
gru,two_consecutive,0.01,-9.445063591003418,0.009650180940892641,2222,2196,841,1355,26,0.007134363852556481,0.0007380073800738007,0.1011070110701107,0.0014760147601476014,0.002952029520295203,0.006642066420664207,5.401459693908691,5.0,0.023276136002542105,0.021687321258341278,0.03399750933997509,0.3791706387035272,0.05719673161533627,0.038461538461538464,,,,,,,,,,,,,,,,
gru,two_consecutive,0.05,-6.9323344230651855,0.04945717732207479,2222,2196,841,1355,26,0.052318668252080855,0.006642066420664207,0.3070110701107011,0.013284132841328414,0.03911439114391144,0.12029520295202951,3.336538553237915,3.0,0.10255799173816332,0.0886558627264061,0.13897882938978828,0.3791706387035272,0.2338152105593966,0.5384615384615384,,,,,,,,,,,,,,,,
gru,two_consecutive,0.1,-5.7395806312561035,0.09891435464414958,2222,2196,841,1355,26,0.09155766944114149,0.015498154981549815,0.42435424354243545,0.024354243542435424,0.09667896678966789,0.25166051660516603,2.572173833847046,2.0,0.14990467111534794,0.12599300921512552,0.1975093399750934,0.3791706387035272,0.3322857741462393,0.6923076923076923,,,,,,,,,,,,,,,,
attention,single_low,0.01,-9.351960182189941,0.009650180940892641,2222,2196,841,1355,26,0.013079667063020214,0.002214022140221402,0.11808118081180811,0.01107011070110701,0.025092250922509225,0.04428044280442804,3.950000047683716,4.0,0.03415951700031776,0.02986971719097553,0.04682440846824409,0.3791706387035272,0.07877645086947413,0.0,,,,,,,,,,,,,,,,
