head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
attention,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,weighted_vote,2,0.32782411575317383,0.3097801491618156,0.34640164375305177,0.018915845081210136,0.013645752752199768,0.024225740367546662,0.0009995002498750624,0.017991004497751123,1319
attention,min,weighted_vote,4,0.38669446110725403,0.3653515636920929,0.40822781920433043,0.01239575445652008,0.00773218316026032,0.01724886293523013,0.0009995002498750624,0.017991004497751123,1319
attention,min,weighted_vote,8,0.43703559041023254,0.41231992840766907,0.4615238904953003,0.0057619414292275906,0.0011372252978617326,0.010272934101521969,0.014992503748125937,0.04497751124437781,1319
attention,min,weighted_vote,16,0.47763457894325256,0.44882485270500183,0.5049279928207397,0.012130402028560638,0.0,0.02350265346467495,0.06196901549225387,0.37181409295352325,1319
attention,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,argmax,2,0.3246019780635834,0.30670680329203603,0.343114112317562,0.015693705528974533,0.010574297863058746,0.02122915121726691,0.0009995002498750624,0.017991004497751123,1319
attention,mean,argmax,4,0.33498862385749817,0.3155780851840973,0.3542854368686676,-0.03931008279323578,-0.04825720340013504,-0.030060652643442154,0.0009995002498750624,0.017991004497751123,1319
attention,mean,argmax,8,0.3343062698841095,0.31315392181277274,0.3557277984917164,-0.09696739912033081,-0.11228393316268921,-0.08210670799016953,0.0009995002498750624,0.017991004497751123,1319
attention,mean,argmax,16,0.34116753935813904,0.3146322965621948,0.36770281195640564,-0.1243366152048111,-0.14935557544231415,-0.09931766241788864,0.0009995002498750624,0.017991004497751123,1319
attention,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,weighted_vote,2,0.3246019780635834,0.30670680329203603,0.343114112317562,0.015693705528974533,0.010574297863058746,0.02122915121726691,0.0009995002498750624,0.017991004497751123,1319
attention,mean,weighted_vote,4,0.3858226239681244,0.3645536474883556,0.4071341879665851,0.011523881927132607,0.007202425959985703,0.01614859700202942,0.0009995002498750624,0.017991004497751123,1319
attention,mean,weighted_vote,8,0.43851399421691895,0.4136419601738453,0.462624154984951,0.007240333128720522,0.0035623576841317117,0.010918308608233923,0.001999000499750125,0.017991004497751123,1319
attention,mean,weighted_vote,16,0.4723275303840637,0.44427597522735596,0.5003790855407715,0.006823351141065359,-0.0037907506339251995,0.01743745245039463,0.24587706146926536,0.9835082458770614,1319
attention,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,argmax,2,0.3263457119464874,0.30818805024027823,0.34526441618800163,0.01743745245039463,0.012129453453235328,0.022821265785023564,0.0009995002498750624,0.017991004497751123,1319
attention,last,argmax,4,0.33521604537963867,0.3159173667430878,0.35447497963905333,-0.039082638919353485,-0.047916033770889044,-0.030287146987393505,0.0009995002498750624,0.017991004497751123,1319
attention,last,argmax,8,0.3296436667442322,0.3084846556186676,0.35072309896349907,-0.10163002461194992,-0.1161504939198494,-0.08707259427756071,0.0009995002498750624,0.017991004497751123,1319
attention,last,argmax,16,0.33358603715896606,0.30705079436302185,0.3593631684780121,-0.13191811740398407,-0.15695603117346763,-0.10689916461706161,0.0009995002498750624,0.017991004497751123,1319
attention,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,weighted_vote,2,0.3263457119464874,0.30818805024027823,0.34526441618800163,0.01743745245039463,0.012129453453235328,0.022821265785023564,0.0009995002498750624,0.017991004497751123,1319
attention,last,weighted_vote,4,0.38468536734580994,0.3634155035018921,0.40610402300953863,0.010386656038463116,0.005761941871605813,0.015049279667437077,0.0009995002498750624,0.017991004497751123,1319
attention,last,weighted_vote,8,0.43658071756362915,0.41175041124224665,0.46095721572637555,0.005307051353156567,0.0008339652355061844,0.009742229245603085,0.01999000499750125,0.04497751124437781,1319
attention,last,weighted_vote,16,0.47763457894325256,0.4495830237865448,0.5049279928207397,0.012130402028560638,0.0007581501267850399,0.022744502872228622,0.04097951024487756,0.3118440779610195,1319
random,-,reference,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,nan,nan,1319
random,-,reference,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,0.0,0.0,0.0,nan,nan,1319
random,-,reference,4,0.30394241213798523,0.2872601941227913,0.32126895785331727,-0.0703563243150711,-0.07721853405237197,-0.06398692559450865,nan,nan,1319
random,-,reference,8,0.3085671067237854,0.2905600734055042,0.32653904557228086,-0.12270659953355789,-0.13309326767921448,-0.11224223338067532,nan,nan,1319
random,-,reference,16,0.3282789885997772,0.30022743344306946,0.3555724024772644,-0.1372251659631729,-0.1607278287410736,-0.11448066681623459,nan,nan,1319
oracle,-,reference,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,nan,nan,1319
oracle,-,reference,2,0.4321455657482147,0.4115560732781887,0.4526175133883953,0.12323730438947678,0.11656557768583298,0.12994693219661713,nan,nan,1319
oracle,-,reference,4,0.5547763705253601,0.5322583943605423,0.5772933974862099,0.18047761917114258,0.17058376967906952,0.19059989675879477,nan,nan,1319
oracle,-,reference,8,0.6646701097488403,0.641546605527401,0.6873786926269532,0.2333965003490448,0.21826953887939454,0.24935653135180472,nan,nan,1319
oracle,-,reference,16,0.7604245543479919,0.7369219064712524,0.7839272022247314,0.2949203848838806,0.269143283367157,0.32069748640060425,nan,nan,1319
majority_vote,-,reference,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,nan,nan,1319
majority_vote,-,reference,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,0.0,0.0,0.0,nan,nan,1319
majority_vote,-,reference,4,0.37429869174957275,0.3531055636703968,0.3957572102546692,0.0,0.0,0.0,nan,nan,1319
majority_vote,-,reference,8,0.4312736690044403,0.4067067988216877,0.455234033614397,0.0,0.0,0.0,nan,nan,1319
majority_vote,-,reference,16,0.46550416946411133,0.43745261430740356,0.4927975833415985,0.0,0.0,0.0,nan,nan,1319
