head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
attention,first_error_position,middle,276,1669,0.7124026417732239,0.7197406888008118,0.7778490781784058,0.6828675866127014,0.9501766784452297
attention,first_error_position,late,328,1630,0.7423312664031982,0.7218785285949707,0.7804374098777771,0.8586625456809998,0.9442082890541976
attention_pe,length,short,929,2775,0.7873873710632324,0.7789174318313599,0.8646842837333679,0.8848184943199158,0.9358974358974359
attention_pe,length,medium,653,3840,0.80078125,0.8007234334945679,0.8681306838989258,0.8587280511856079,0.9342578325629173
attention_pe,length,long,641,7192,0.7976918816566467,0.7853684425354004,0.8705649375915527,0.8005328178405762,0.9827350247394463
attention_pe,error_count,one_error,231,930,0.7763440608978271,0.7700611352920532,0.8117285966873169,0.8835082054138184,0.9527896995708155
attention_pe,error_count,multiple_errors,1314,9640,0.8036307096481323,0.8004253506660461,0.8721472024917603,0.6542852520942688,0.9734474626604943
attention_pe,first_error_position,early,941,7271,0.8308348059654236,0.8338668942451477,0.9056611657142639,0.5819686055183411,0.9817105970952125
attention_pe,first_error_position,middle,276,1669,0.7285799980163574,0.733819842338562,0.7885480523109436,0.7214556932449341,0.9667844522968198
attention_pe,first_error_position,late,328,1630,0.7435582876205444,0.7389240264892578,0.7866643071174622,0.8579173684120178,0.9431455897980872
