head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
gru,two_consecutive,0.1,-4.946553707122803,0.09957325746799431,2220,2011,675,1336,209,0.10518518518518519,0.027694610778443114,0.468562874251497,0.04116766467065868,0.14820359281437126,0.2687125748502994,2.6421725749969482,2.0,0.18723067452290915,0.16040805557998417,0.22424391443324318,0.4512355993316331,0.35548625998830635,0.3157894736842105,,,,,,,,,,,,,,,,
attention,single_low,0.01,-8.927103042602539,0.00995732574679943,2220,2011,675,1336,209,0.023703703703703703,0.0,0.21706586826347304,0.015718562874251496,0.03143712574850299,0.07035928143712575,3.9448275566101074,3.0,0.10210183800897019,0.09876000351772052,0.13806245389722155,0.4512355993316331,0.21886571818358994,0.6985645933014354,,,,,,,,,,,,,,,,
attention,single_low,0.05,-7.594302177429199,0.049786628733997154,2220,2011,675,1336,209,0.06666666666666667,0.015718562874251496,0.4086826347305389,0.07559880239520958,0.15568862275449102,0.25523952095808383,2.3589744567871094,2.0,0.2100958578840911,0.18591152932899482,0.25989672977624784,0.4512355993316331,0.4120054570259209,0.8421052631578947,0.04888888821005821,0.08596300333738327,0.008982036262750626,0.022455090656876564,0.3832148313522339,0.4341317415237427,0.06285553425550461,0.08982036262750626,0.13697604835033417,0.174401193857193,0.23353293538093567,0.279940128326416,0.170293390750885,0.20177005231380463,0.3827562630176544,0.4393707513809204
attention,single_low,0.1,-6.603742599487305,0.09957325746799431,2220,2011,675,1336,209,0.10074074074074074,0.040419161676646706,0.5269461077844312,0.18113772455089822,0.3218562874251497,0.4094311377245509,1.5625,1.0,0.28748570926039924,0.240436197344121,0.3361199901647406,0.4512355993316331,0.5328396024166829,0.8947368421052632,,,,,,,,,,,,,,,,
attention,two_consecutive,0.01,-8.714326858520508,0.00995732574679943,2220,2011,675,1336,209,0.01925925925925926,0.0,0.14895209580838323,0.0014970059880239522,0.005988023952095809,0.020958083832335328,4.6080403327941895,4.0,0.061472166036408406,0.05918564770029021,0.08273911974428326,0.4512355993316331,0.1311635158838433,0.10526315789473684,,,,,,,,,,,,,,,,
attention,two_consecutive,0.05,-7.110051155090332,0.049786628733997154,2220,2011,675,1336,209,0.054814814814814816,0.008982035928143712,0.3106287425149701,0.009730538922155689,0.08907185628742514,0.1631736526946108,2.850602388381958,2.0,0.15381232961041244,0.1370152141412365,0.19154167691172855,0.4512355993316331,0.30364451374001167,0.19617224880382775,,,,,,,,,,,,,,,,
attention,two_consecutive,0.1,-5.374472618103027,0.09957325746799431,2220,2011,675,1336,209,0.10962962962962963,0.03143712574850299,0.48502994011976047,0.036676646706586824,0.2836826347305389,0.375,1.8611111640930176,1.0,0.2443056899129364,0.2065781373669862,0.28878780427833783,0.4512355993316331,0.45780549600467746,0.27751196172248804,,,,,,,,,,,,,,,,
attention_pe,single_low,0.01,-9.440666198730469,0.00995732574679943,2220,2011,675,1336,209,0.014814814814814815,0.0,0.1661676646706587,0.006736526946107785,0.014970059880239521,0.036676646706586824,4.626126289367676,4.0,0.06868349309647348,0.06727640488963152,0.09404966805999508,0.4512355993316331,0.14909374390956928,0.6889952153110048,,,,,,,,,,,,,,,,
attention_pe,single_low,0.05,-8.518867492675781,0.049786628733997154,2220,2011,675,1336,209,0.05925925925925926,0.011976047904191617,0.3158682634730539,0.02619760479041916,0.09281437125748503,0.17290419161676646,2.8412322998046875,2.0,0.17219241931228563,0.15346055755870197,0.21453159577083847,0.4512355993316331,0.3400896511401286,0.7799043062200957,0.04148148000240326,0.07851851731538773,0.006736526731401682,0.01796407252550125,0.28965193033218384,0.3405875861644745,0.01796407252550125,0.03517964109778404,0.07784431427717209,0.10853293538093567,0.15269461274147034,0.19461077451705933,0.13963958621025085,0.16819775104522705,0.31351765990257263,0.3668525815010071
attention_pe,single_low,0.1,-7.713961124420166,0.09957325746799431,2220,2011,675,1336,209,0.11703703703703704,0.03817365269461078,0.4393712574850299,0.0815868263473054,0.22305389221556887,0.3203592814371258,1.9642248153686523,1.0,0.26453258288628967,0.21748307097001143,0.3040324563560364,0.4512355993316331,0.48197232508282983,0.8516746411483254,,,,,,,,,,,,,,,,
