head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
gru,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.5789473684210527,0.03634085213032581,0.12907268170426064,0.24060150375939848,3.497835397720337,3.0,0.2942039618488628,0.2942039618488628,0.2942039618488628,0.8094277329420396,0.3634715612961704,
gru,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.0125,0.275,0.06666666666666667,0.15,0.2125,1.5303030014038086,1.0,0.08882309400444116,0.076980014803849,0.076980014803849,0.4448556624722428,0.17304492512479203,
gru,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.06040268456375839,0.1174496644295302,0.09731543624161074,0.10738255033557047,0.1174496644295302,0.2571428716182709,0.0,0.03906836964688205,0.009015777610818933,0.009015777610818933,0.0879038317054846,0.10256410256410256,
attention,single_low,0.05,length,short,915,915,375,540,0,0.024,0.0,0.20555555555555555,0.05555555555555555,0.12407407407407407,0.1814814814814815,1.2432432174682617,1.0,0.021961932650073207,0.018301610541727673,0.030656039239730228,0.2349926793557833,0.0778816199376947,
attention,single_low,0.05,length,medium,454,454,159,295,0,0.03773584905660377,0.023728813559322035,0.34915254237288135,0.05423728813559322,0.11864406779661017,0.19661016949152543,2.203883409500122,2.0,0.0887906789875452,0.07352350341502611,0.11352357320099256,0.3459220570510245,0.21254355400696864,
attention,single_low,0.05,length,long,642,642,141,501,0,0.2127659574468085,0.027944111776447105,0.6626746506986028,0.10978043912175649,0.21157684630738524,0.36926147704590817,2.780120372772217,2.0,0.34276422764227643,0.30585365853658536,0.3845839296667348,0.5899186991869919,0.5184674751929438,
attention,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0037593984962406013,0.5902255639097744,0.09774436090225563,0.20551378446115287,0.3458646616541353,2.5222930908203125,2.0,0.38169479090242114,0.3785766691122524,0.3785766691122524,0.8094277329420396,0.4677090414683889,
attention,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.041666666666666664,0.1875,0.016666666666666666,0.075,0.14583333333333334,1.8888888359069824,2.0,0.07327905255366396,0.03182827535159141,0.03182827535159141,0.4448556624722428,0.07154742096505824,
attention,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.026845637583892617,0.10067114093959731,0.06375838926174497,0.087248322147651,0.10067114093959731,0.5,0.0,0.025544703230653644,0.005259203606311044,0.005259203606311044,0.0879038317054846,0.05982905982905983,
attention_pe,single_low,0.05,length,short,915,915,375,540,0,0.008,0.0,0.08333333333333333,0.022222222222222223,0.05,0.07777777777777778,1.2000000476837158,1.0,0.006954612005856516,0.006222547584187409,0.010423053341508276,0.2349926793557833,0.0264797507788162,
attention_pe,single_low,0.05,length,medium,454,454,159,295,0,0.0440251572327044,0.023728813559322035,0.23389830508474577,0.006779661016949152,0.08135593220338982,0.14576271186440679,2.275362253189087,2.0,0.0678987545198875,0.05263157894736842,0.08126550868486353,0.3459220570510245,0.1521486643437863,
attention_pe,single_low,0.05,length,long,642,642,141,501,0,0.2127659574468085,0.017964071856287425,0.6147704590818364,0.041916167664670656,0.14570858283433133,0.29141716566866266,3.207792282104492,3.0,0.28780487804878047,0.2596747967479675,0.3265180944592108,0.5899186991869919,0.4401874310915105,
attention_pe,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.46867167919799496,0.02631578947368421,0.11654135338345864,0.23558897243107768,3.042780637741089,2.0,0.30796038151137195,0.30796038151137195,0.30796038151137195,0.8094277329420396,0.38046680262859733,
attention_pe,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.025,0.12916666666666668,0.0125,0.07083333333333333,0.10833333333333334,1.6774193048477173,1.0,0.0688378978534419,0.046632124352331605,0.046632124352331605,0.4448556624722428,0.1048252911813644,
attention_pe,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.03355704697986577,0.05704697986577181,0.03691275167785235,0.04697986577181208,0.05704697986577181,0.529411792755127,0.0,0.02404207362885049,0.002253944402704733,0.002253944402704733,0.0879038317054846,0.02564102564102564,
