head,agg,k,accuracy,ci_low,ci_high,n_questions
attention,mean,2,0.3328278958797455,0.31474605202674866,0.3512916691601276,1319
attention,mean,4,0.34404850006103516,0.32486449405550955,0.36402956321835517,1319
attention,mean,8,0.35576194524765015,0.33494976758956907,0.37733507752418516,1319
attention,mean,16,0.3623957633972168,0.33661866188049316,0.388931006193161,1319
attention,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention,last,2,0.33396512269973755,0.3160727918148041,0.35265353322029114,1319
attention,last,4,0.3468157649040222,0.32691143825650215,0.3666831016540527,1319
attention,last,8,0.35670962929725647,0.3346067242324352,0.3786590337753296,1319
attention,last,16,0.36391204595565796,0.33737680315971375,0.39120545983314514,1319
attention_pe,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,min,2,0.3179302215576172,0.30052978321909907,0.33597421646118164,1319
attention_pe,min,4,0.32278239727020264,0.3042826108634472,0.34234646558761594,1319
attention_pe,min,8,0.3264215588569641,0.3057979755103588,0.34708775877952575,1319
attention_pe,min,16,0.31387415528297424,0.29035255312919617,0.3388931155204773,1319
attention_pe,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,mean,2,0.3289613425731659,0.31114097982645034,0.3478051774203777,1319
attention_pe,mean,4,0.3412054479122162,0.32182997539639474,0.36091928482055663,1319
attention_pe,mean,8,0.3443138599395752,0.3226677544414997,0.3652426056563854,1319
attention_pe,mean,16,0.33737680315971375,0.3115997016429901,0.36317285820841777,1319
attention_pe,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,last,2,0.3279378414154053,0.3096664249897003,0.3470460593700409,1319
attention_pe,last,4,0.33908262848854065,0.31997725293040274,0.3585311040282249,1319
attention_pe,last,8,0.33551934361457825,0.3141764760017395,0.35716547891497613,1319
attention_pe,last,16,0.3388931155204773,0.3131159842014313,0.3654283583164215,1319
random,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
random,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
random,-,4,0.30394241213798523,0.2872601941227913,0.32126895785331727,1319
random,-,8,0.3085671067237854,0.2905600734055042,0.32653904557228086,1319
random,-,16,0.3282789885997772,0.30022743344306946,0.3555724024772644,1319
oracle,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
oracle,-,2,0.4321455657482147,0.4115560732781887,0.4526175133883953,1319
oracle,-,4,0.5547763705253601,0.5322583943605423,0.5772933974862099,1319
oracle,-,8,0.6646701097488403,0.641546605527401,0.6873786926269532,1319
oracle,-,16,0.7604245543479919,0.7369219064712524,0.7839272022247314,1319
majority_vote,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
majority_vote,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
majority_vote,-,4,0.37429869174957275,0.3531055636703968,0.3957572102546692,1319
majority_vote,-,8,0.4312736690044403,0.4067067988216877,0.455234033614397,1319
majority_vote,-,16,0.46550416946411133,0.43745261430740356,0.4927975833415985,1319
